Genus,LFC_PC_vs_NC,LFC_G25_vs_NC,LFC_G50_vs_NC,Delta_G25,Delta_G50,Min_delta,Best_dose
Bacteroides,4.882932914604138,4.927482253738866,2.758029711591665,0.04454933913472825,2.1249032030124724,0.04454933913472825,G25
Lachnospiraceae_NK4A136_group,0.7935908391043266,1.9720962176595849,0.8462044229370135,1.1785053785552582,0.05261358383268688,0.05261358383268688,G50
Butyricicoccus,11.193182475580999,11.128611683655082,8.329308777664979,0.06457079192591664,2.86387369791602,0.06457079192591664,G25
Saccharimonadales,-0.9207232353674069,-0.827503747170692,-0.07827612304791244,0.09321948819671488,0.8424471123194944,0.09321948819671488,G25
Lactococcus,-3.3631685543292904,-3.6452830557263316,-3.8061652639195587,0.2821145013970412,0.44299670959026827,0.2821145013970412,G25
Paenibacillus,4.805901332418598,3.866686689125416,4.4592204318359006,0.939214643293182,0.3466809005826974,0.3466809005826974,G50
Gallibacterium,0.7111618305754246,-11.328990221063448,1.0603656645585622,12.040152051638872,0.3492038339831376,0.3492038339831376,G50
Aeriscardovia,-2.244327078282896,-5.296578311930846,-2.687935346032192,3.05225123364795,0.4436082677492963,0.4436082677492963,G50
Deinococcus,1.6042356868045968,0.9833169253885162,-2.222374454263542,0.6209187614160806,3.826610141068139,0.6209187614160806,G25
Blautia,3.5492885153853186,2.899957757858442,-2.2539077708445108,0.6493307575268767,5.803196286229829,0.6493307575268767,G25
Gardnerella,-0.6499768522062819,-11.182037733414782,0.002446238037369048,10.532060881208501,0.652423090243651,0.652423090243651,G50
Enterococcus,0.3512724987655109,-0.9434537636936364,1.0235103514458632,1.2947262624591473,0.6722378526803523,0.6722378526803523,G50
Facklamia,2.1191171298130156,-8.988966926084611,2.813956058826705,11.108084055897628,0.6948389290136894,0.6948389290136894,G50
Chloroplast,10.443984237389408,0.0,11.232306765809602,10.443984237389408,0.7883225284201938,0.7883225284201938,G50
Streptococcus,0.9117950558029284,-1.1799568552785655,0.09051985936112718,2.091751911081494,0.8212751964418012,0.8212751964418012,G50
Lactobacillus,-0.9116957553075102,-0.013541613746014492,-0.07727387149385442,0.8981541415614958,0.8344218838136558,0.8344218838136558,G50
[Ruminococcus]_torques_group,11.394240649185365,10.51110625332701,10.517747315629949,0.8831343958583542,0.8764933335554161,0.8764933335554161,G50
Dietzia,3.969910807125479,-0.684113508324753,3.0892983711546154,4.654024315450232,0.8806124359708636,0.8806124359708636,G50
Muribaculaceae,2.2458837360806254,3.6775309232301057,1.2239947475478232,1.4316471871494802,1.0218889885328022,1.0218889885328022,G50
Clostridia_UCG-014,12.244302984704754,9.605083916941354,10.964798440388616,2.639219067763401,1.2795045443161381,1.2795045443161381,G50
Propioniciclava,0.8744677131679974,-10.423251846812907,-0.432778868898957,11.297719559980903,1.3072465820669543,1.3072465820669543,G50
Unclassified,2.938324525549742,1.2640910093895232,1.6118436974304773,1.6742335161602189,1.3264808281192648,1.3264808281192648,G50
uncultured,2.5843800079587367,1.2577935293666855,0.02832739445052117,1.3265864785920511,2.5560526135082156,1.3265864785920511,G25
Paracoccus,1.6378751396040159,-0.24461522829125526,0.19389048308973797,1.8824903678952711,1.443984656514278,1.443984656514278,G50
Rothia,-0.4234893930938899,-1.8843180899359613,1.2958146554899468,1.4608286968420714,1.7193040485838367,1.4608286968420714,G25
Sedimentibacter,0.8796493317068911,-10.385030287522447,-0.6205007820638225,11.264679619229339,1.5001501137707136,1.5001501137707136,G50
Domibacillus,1.9614638268217484,-2.616699835746739,0.4433723384308621,4.578163662568487,1.5180914883908863,1.5180914883908863,G50
Romboutsia,5.705931451278733,3.9110551754888223,3.7232003749890015,1.7948762757899108,1.9827310762897317,1.7948762757899108,G25
Corynebacterium,1.7059456981835281,-0.18762810653696277,-0.6780505251502346,1.8935738047204909,2.383996223333763,1.8935738047204909,G25
JG30-KF-CM45,2.4142589243715378,0.5027123021154613,0.2588579964128424,1.9115466222560764,2.1554009279586954,1.9115466222560764,G25
