feature,kw_statistic,kw_pvalue,kw_qvalue,mean_NC,mean_PC,mean_G25,mean_G50,verified_name,verification_status,spearman_rho,spearman_pvalue,spearman_qvalue,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,support_kw,support_dose_nominal,support_pc_like,support_score,abs_rho,display_name,level,priority_penalty
EC:2.7.7.61,10.4068421052632,0.0154063414916086,0.31043342748767,0.0004208319384561,0.0001657674291614,4.11663204649745e-05,0.00019693820512,citrate lyase holo-[acyl-carrier protein] synthase,verified,-0.87287156094397,0.0046592149439939,0.431210343066638,-1.34407835869222,-3.35367617490268,-1.09549728801703,2.00959781621045,0.248581070675196,0.248581070675196,G50,True,True,True,3,0.87287156094397,citrate lyase holo-[acyl-carrier protein] synthase,EC enzyme,0
EC:2.4.2.52,9.67789473684211,0.0215122590278014,0.31043342748767,0.0004210960082788,0.0001799003394174,5.12904987385168e-05,0.0001986301611832,triphosphoribosyl-dephospho-CoA synthase,verified,-0.87287156094397,0.0046592149439939,0.431210343066638,-1.2269466978771,-3.03736099316937,-1.08406065570161,1.81041429529226,0.142886042175493,0.142886042175493,G50,True,True,True,3,0.87287156094397,triphosphoribosyl-dephospho-CoA synthase,EC enzyme,0
EC:2.8.3.10,9.38578947368421,0.0245779287430507,0.31043342748767,0.0004106259067087,0.0001812534176317,4.82617693771027e-05,0.0001950385579339,citrate CoA-transferase,verified,-0.87287156094397,0.0046592149439939,0.431210343066638,-1.1798120067654,-3.08884555781553,-1.07406140333394,1.90903355105013,0.105750603431453,0.105750603431453,G50,True,True,True,3,0.87287156094397,citrate CoA-transferase,EC enzyme,0
EC:6.2.1.22,9.28157894736842,0.025772198595421,0.31043342748767,0.0004049919470349,0.00015709334377,4.11663204649745e-05,0.0001899030824085,EC:6.2.1.22,,-0.87287156094397,0.0046592149439939,0.431210343066638,-1.36626554674561,-3.29832533022128,-1.09262586389244,1.93205978347566,0.273639682853174,0.273639682853174,G50,True,True,True,3,0.87287156094397,EC:6.2.1.22,EC enzyme,0
EC:3.6.1.11,8.98789473684211,0.0294522663162616,0.31043342748767,0.0025610252302867,0.0017841828561526,0.0019352649066526,0.0020793863869068,EC:3.6.1.11,,-0.763762615825973,0.027396043909112,0.742817687988281,-0.521457739824708,-0.404190222117365,-0.300563473972523,0.117267517707343,0.220894265852185,0.117267517707343,G25,True,True,True,3,0.763762615825973,EC:3.6.1.11,EC enzyme,0
EC:3.6.1.40,8.98789473684211,0.0294522663162616,0.31043342748767,0.0025610252302867,0.0017841828561526,0.0019352649066526,0.0020793863869068,EC:3.6.1.40,,-0.763762615825973,0.027396043909112,0.742817687988281,-0.521457739824708,-0.404190222117365,-0.300563473972523,0.117267517707343,0.220894265852185,0.117267517707343,G25,True,True,True,3,0.763762615825973,EC:3.6.1.40,EC enzyme,0
EC:3.2.1.70,8.89105263157896,0.0307750249968161,0.31043342748767,0.0003755966011249,0.0001399517635298,4.41269754621318e-05,0.0001729002048626,EC:3.2.1.70,,-0.87287156094397,0.0046592149439939,0.431210343066638,-1.42424787390307,-3.08942238393437,-1.11923992634383,1.6651745100313,0.305007947559242,0.305007947559242,G50,True,True,True,3,0.87287156094397,EC:3.2.1.70,EC enzyme,0
EC:1.1.1.205,8.79842105263158,0.0320945904344441,0.31043342748767,0.0022373440945602,0.0018503874789781,0.0019802010853288,0.0021037005605162,IMP dehydrogenase,verified,-0.87287156094397,0.0046592149439939,0.431210343066638,-0.273959610501309,-0.176140130000191,-0.0888577463238022,0.097819480501118,0.185101864177507,0.097819480501118,G25,True,True,True,3,0.87287156094397,IMP dehydrogenase,EC enzyme,0
EC:3.1.3.4,8.52964285714287,0.0362445175457196,0.31043342748767,1.73015755330612e-05,7.28720510555693e-06,8.62844166967099e-07,7.45158533337663e-06,phosphatidate phosphatase,verified,-0.894427190999916,0.0027136820350938,0.431210343066638,-1.24735133740622,-4.32407191138985,-1.21517390820131,3.07672057398363,0.0321774292049148,0.0321774292049148,G50,True,True,True,3,0.894427190999916,phosphatidate phosphatase,EC enzyme,0
EC:3.6.1.66,8.35157894736842,0.0392778846424529,0.31043342748767,0.002161875709029,0.0017033684892439,0.0019457042762847,0.0019804194539689,EC:3.6.1.66,,-0.763762615825973,0.027396043909112,0.742817687988281,-0.343892835520338,-0.151991053179265,-0.126477494312885,0.191901782341073,0.217415341207453,0.191901782341073,G25,True,True,True,3,0.763762615825973,EC:3.6.1.66,EC enzyme,0
EC:6.3.5.5,8.15368421052631,0.0429400333765396,0.31043342748767,0.004867506139051,0.0037268932440863,0.0040131843144349,0.0041267492401157,EC:6.3.5.5,,-0.763762615825973,0.027396043909112,0.742817687988281,-0.385209213783619,-0.278435318798052,-0.238176968960953,0.106773894985567,0.147032244822666,0.106773894985567,G25,True,True,True,3,0.763762615825973,EC:6.3.5.5,EC enzyme,0
EC:3.2.1.139,7.82880530973453,0.0496855071632357,0.31043342748767,1.30412900684791e-07,1.58346336392752e-05,1.48102671802541e-05,9.81370174510478e-06,alpha-glucuronidase,verified,0.894427190999916,0.0027136820350938,0.431210343066638,6.91292387491651,6.81644435500831,6.22276561111366,0.0964795199081951,0.690158263802852,0.0964795199081951,G25,True,True,True,3,0.894427190999916,alpha-glucuronidase,EC enzyme,0
EC:4.1.1.47,11.9732142857143,0.0074754825567466,0.31043342748767,5.24778857481006e-08,1.62425114316714e-05,1.1510589765294e-05,3.53585799134004e-06,tartronate-semialdehyde synthase,verified,0.639362013091006,0.087832229305941,0.771144781236701,8.24670539515326,7.74992894041355,6.04738205470493,0.496776454739711,2.19932334044833,0.496776454739711,G25,True,False,True,2,0.639362013091006,tartronate-semialdehyde synthase,EC enzyme,0
EC:1.5.1.3,10.2221052631579,0.0167695133412348,0.31043342748767,0.0019640559745358,0.0014350433037344,0.0018416862471981,0.0018161837858772,dihydrofolate reductase,verified,-0.327326835353989,0.428691507235313,0.771144781236701,-0.452741503295518,-0.0928086950809555,-0.112925785178695,0.359932808214563,0.339815718116823,0.339815718116823,G50,True,False,True,2,0.327326835353989,dihydrofolate reductase,EC enzyme,0
EC:2.1.1.45,10.15,0.0173331840150143,0.31043342748767,0.0019700245957273,0.0013956965265685,0.0018175443352497,0.0018075653318146,thymidylate synthase,verified,-0.327326835353989,0.428691507235313,0.771144781236701,-0.497228057381775,-0.116223024235219,-0.124165783772097,0.381005033146556,0.373062273609678,0.373062273609678,G50,True,False,True,2,0.327326835353989,thymidylate synthase,EC enzyme,0
EC:4.2.1.11,10.1484210526316,0.0173457333524049,0.31043342748767,0.0020066614450378,0.0016805114982501,0.0019165372117855,0.0019034973163701,phosphopyruvate hydratase (enolase),verified,-0.436435780471985,0.279658290904658,0.771144781236701,-0.255896678868186,-0.0662951883528072,-0.0761446572683563,0.189601490515379,0.17975202159983,0.17975202159983,G50,True,False,True,2,0.436435780471985,phosphopyruvate hydratase (enolase),EC enzyme,0
EC:2.7.8.7,10.0342105263158,0.0182775606953233,0.31043342748767,0.0019684575875971,0.0014977546675742,0.001831140465304,0.0018423200867732,holo-[acyl-carrier-protein] synthase,verified,-0.436435780471985,0.279658290904658,0.771144781236701,-0.394264068683358,-0.104323110202625,-0.0955418396606862,0.289940958480733,0.298722229022672,0.289940958480733,G25,True,False,True,2,0.436435780471985,holo-[acyl-carrier-protein] synthase,EC enzyme,0
EC:2.7.4.9,10.0157894736842,0.0184323948697891,0.31043342748767,0.0019703523044931,0.001578918204927,0.0018460835463465,0.0018580360751571,dTMP kinase,verified,-0.436435780471985,0.279658290904658,0.771144781236701,-0.319516994091077,-0.0939857162997415,-0.0846750533931971,0.225531277791335,0.23484194069788,0.225531277791335,G25,True,False,True,2,0.436435780471985,dTMP kinase,EC enzyme,0
