module,gene,comparison,pathway
ECM_ADHESION,ABL1,NC_vs_G25,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_G25,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_G25,GOBP_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ABL1,NC_vs_G25,GOBP_BASEMENT_MEMBRANE_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_G25,GOBP_CELL_MATRIX_ADHESION
ECM_ADHESION,ABL1,NC_vs_G25,GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ABL1,NC_vs_G25,GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_CELL_MATRIX_ADHESION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_BASEMENT_MEMBRANE_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_REGULATION_OF_CELL_MATRIX_ADHESION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION
ECM_ADHESION,ABL1,NC_vs_G50,GOBP_POSITIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ABL1,NC_vs_PC,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_PC,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_PC,GOBP_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ABL1,NC_vs_PC,GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ABL1,NC_vs_PC,GOBP_BASEMENT_MEMBRANE_ORGANIZATION
ECM_ADHESION,ABL1,NC_vs_PC,GOBP_CELL_MATRIX_ADHESION
ECM_ADHESION,ABL1,NC_vs_PC,GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ACTG1L,NC_vs_G25,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_G25,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_G25,GOBP_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G25,GOBP_BASEMENT_MEMBRANE_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_G25,GOBP_CELL_MATRIX_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G25,GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ACTG1L,NC_vs_G25,GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_CELL_MATRIX_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_BASEMENT_MEMBRANE_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_REGULATION_OF_CELL_MATRIX_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_G50,GOBP_POSITIVE_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ACTG1L,NC_vs_PC,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_PC,GOBP_COLLAGEN_FIBRIL_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_PC,GOBP_CELL_SUBSTRATE_ADHESION
ECM_ADHESION,ACTG1L,NC_vs_PC,GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM
ECM_ADHESION,ACTG1L,NC_vs_PC,GOBP_BASEMENT_MEMBRANE_ORGANIZATION
ECM_ADHESION,ACTG1L,NC_vs_PC,GOBP_CELL_MATRIX_ADHESION
