feature,kw_statistic,kw_pvalue,kw_qvalue,mean_NC,mean_PC,mean_G25,mean_G50,verified_name,verification_status,spearman_rho,spearman_pvalue,spearman_qvalue,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,support_kw,support_dose_nominal,support_pc_like,support_score,abs_rho,display_name,level,priority_penalty
PWY-7219,10.0221052631579,0.0183791641764655,0.270926804400356,0.0139557190088378,0.0094909030993524,0.0139789055545649,0.0125741307625685,adenosine ribonucleotides de novo biosynthesis,verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.55623912899714,0.0023949575371524,-0.150397772289951,0.558634086534293,0.405841356707189,0.405841356707189,G50,True,False,True,2,0.218217890235992,adenosine ribonucleotides de novo biosynthesis,MetaCyc pathway,0
ANAGLYCOLYSIS-PWY,9.96157894736841,0.0188955677404606,0.270926804400356,0.0130513864500373,0.0090946641475047,0.0131716007131832,0.0118638734689058,glycolysis III (from glucose),verified,-0.109108945117996,0.797038574188192,0.910548711688677,-0.521110757098491,0.0132276099544846,-0.137627945210507,0.534338367052975,0.383482811887984,0.383482811887984,G50,True,False,True,2,0.109108945117996,glycolysis III (from glucose),MetaCyc pathway,0
UDPNAGSYN-PWY,9.36842105263158,0.0247731348150176,0.270926804400356,0.012166282323488,0.0079785448468593,0.0119764394527126,0.0108784131778858,UDP-N-acetyl-D-glucosamine biosynthesis I,verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.608690773685558,-0.0226893217153169,-0.161420246389335,0.586001451970241,0.447270527296223,0.447270527296223,G50,True,False,True,2,0.218217890235992,UDP-N-acetyl-D-glucosamine biosynthesis I,MetaCyc pathway,0
PWY4FS-7,9.35105263157895,0.0249698610363008,0.270926804400356,0.0134330306487476,0.0093184380200059,0.0133879853906484,0.0122519527071288,phosphatidylglycerol biosynthesis I (plastidic),verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.527624730841663,-0.0048459481650663,-0.132773116783097,0.522778782676597,0.394851614058567,0.394851614058567,G50,True,False,True,2,0.218217890235992,phosphatidylglycerol biosynthesis I (plastidic),MetaCyc pathway,0
PWY4FS-8,9.35105263157895,0.0249698610363008,0.270926804400356,0.0134330306487476,0.0093184380200059,0.0133879853906484,0.0122519527071288,phosphatidylglycerol biosynthesis II (non-plastidic),verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.527624730841663,-0.0048459481650661,-0.132773116783097,0.522778782676597,0.394851614058567,0.394851614058567,G50,True,False,True,2,0.218217890235992,phosphatidylglycerol biosynthesis II (non-plastidic),MetaCyc pathway,0
PWY-7208,9.26421052631579,0.025976699680354,0.270926804400356,0.0161355007119574,0.0101825471433269,0.0159563593566298,0.0143756094224331,superpathway of pyrimidine nucleobases salvage,verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.664139801751562,-0.0161068266385095,-0.166615219602345,0.648032975113052,0.497524582149216,0.497524582149216,G50,True,False,True,2,0.218217890235992,superpathway of pyrimidine nucleobases salvage,MetaCyc pathway,0
PWY-6386,9.19473684210526,0.0268107283216902,0.270926804400356,0.0131053580897395,0.0087998077468513,0.013224962259412,0.0119033657263704,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.574612810391427,0.0131068299878054,-0.138787203907113,0.587719640379233,0.435825606484314,0.435825606484314,G50,True,False,True,2,0.218217890235992,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),MetaCyc pathway,0
PEPTIDOGLYCANSYN-PWY,9.19473684210526,0.0268107283216902,0.270926804400356,0.0133669596705001,0.0088560790488138,0.0134255531691213,0.0120801884358278,peptidoglycan biosynthesis I (meso-diaminopimelate containing),verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.593931300518474,0.0063101717147298,-0.146028389616299,0.600241472233203,0.447902910902175,0.447902910902175,G50,True,False,True,2,0.218217890235992,peptidoglycan biosynthesis I (meso-diaminopimelate containing),MetaCyc pathway,0
PWY-6385,9.19473684210526,0.0268107283216902,0.270926804400356,0.0133640968300357,0.0088429422726662,0.0134242553797627,0.0120750726825834,peptidoglycan biosynthesis III (mycobacteria),verified,-0.218217890235992,0.603645056510136,0.887430381881436,-0.595763909649038,0.0064797252252432,-0.146330456403469,0.602243634874282,0.44943345324557,0.44943345324557,G50,True,False,True,2,0.218217890235992,peptidoglycan biosynthesis III (mycobacteria),MetaCyc pathway,0
PWY-7229,9.01315789473684,0.0291164557100566,0.270926804400356,0.0143362682023929,0.0096490516450156,0.0145959087115517,0.0129371570985438,superpathway of adenosine nucleotides de novo biosynthesis I,verified,0.109108945117996,0.797038574188192,0.910548711688677,-0.571210424277186,0.0258944984534923,-0.148148897513118,0.597104922730678,0.423061526764068,0.423061526764068,G50,True,False,True,2,0.109108945117996,superpathway of adenosine nucleotides de novo biosynthesis I,MetaCyc pathway,0
