taxon,H,p,max_mean
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,9.961578947368423,0.018895567740460438,0.03179261124481896
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Desemzia,9.367826086956525,0.024779848579424172,0.002590981917955541
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__uncultured,8.225474452554737,0.04157457332828897,0.001793826403451445
d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter,7.498043478260878,0.05760874469928435,0.01478813678509765
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Rothia,7.492105263157896,0.057761648879300805,0.03440400641268692
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus,7.393157894736845,0.06036817601855725,0.8131224649872114
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,7.344337137840222,0.061695924694632795,0.013993036059604955
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1,7.216470588235301,0.06530900308749663,0.007301655626162492
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014,6.9826153846154,0.07245394835368131,0.005173776122182392
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,6.957857142857148,0.07325320813829928,0.01860630521935897
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Romboutsia,6.606964285714291,0.08553821477045963,0.0722798463343028
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group,6.566896551724136,0.08706127651165986,0.002255789499154663
d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Sporomusaceae; g__Sporomusa,6.560689655172422,0.08729953729713734,0.0036004913845380884
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae,6.479692307692307,0.09046683886601121,0.0018674392897735513
d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group,6.229538461538469,0.10096133615239904,0.0051886893431497124
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Butyricicoccus,5.9385245901639445,0.11463974548986508,0.0025517900266132563
d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__UCG-004,5.911111111111135,0.11601586460883408,0.002646573527630523
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__uncultured,5.911111111111135,0.11601586460883408,0.002626499776091037
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group,5.911111111111135,0.11601586460883408,0.002600418845280988
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Nosocomiicoccus,5.911111111111135,0.11601586460883408,0.002107944328364638
d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__Cloacimonadaceae; g__Candidatus_Cloacimonas,5.911111111111135,0.11601586460883408,0.0020324744110011123
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured,5.911111111111135,0.11601586460883408,0.001570232164292841
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales_UCG-001; g__Bacteroidales_UCG-001,5.911111111111135,0.11601586460883408,0.0013183886587030513
d__Bacteria; p__Firmicutes; c__Desulfotomaculia; o__Desulfotomaculales; f__Desulfotomaculales; g__Desulfotomaculum,5.911111111111135,0.11601586460883408,0.0012267163276397167
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter,5.911111111111135,0.11601586460883408,0.0011810498107114496
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales,5.911111111111135,0.11601586460883408,0.0011586251406149777
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia,5.911111111111135,0.11601586460883408,0.000951436037308423
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Candidatus_Saccharimonas,5.911111111111135,0.11601586460883408,0.000909676199085653
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae,5.911111111111135,0.11601586460883408,0.0008867338360304068
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter,5.911111111111135,0.11601586460883408,0.0008226855892145869
d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Absconditabacteriales_(SR1); f__Absconditabacteriales_(SR1); g__Absconditabacteriales_(SR1),5.911111111111135,0.11601586460883408,0.0005697923679508052
d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalitalea,5.911111111111135,0.11601586460883408,0.000497036270476847
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Atopostipes,5.911111111111135,0.11601586460883408,0.00042524520233496273
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__CAG-352,5.911111111111135,0.11601586460883408,0.00037216343050917573
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Phreatobacter,5.911111111111135,0.11601586460883408,0.00036377809512777283
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia; f__Hungateiclostridiaceae; g__uncultured,5.911111111111135,0.11601586460883408,0.00035553428145597714
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia,5.911111111111135,0.11601586460883408,0.00033339264094455525
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Gallibacterium,5.752769230769241,0.12427802958471804,0.005462474579720221
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__uncultured,5.744233576642342,0.12473897890718476,0.0009362626835348071
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella,5.655823863636369,0.1296100551006424,0.002376187250410687
d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus,5.6066286215978876,0.13239833346274196,0.09185431474932132
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Sedimentibacteraceae; g__Sedimentibacter,5.407552693208432,0.1442737441379009,0.0026511761158584217
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia,5.337058823529417,0.14871569487575578,0.004253127033303937
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Propioniciclava,5.307435597189702,0.15062063348742655,0.0026771806038653383
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae,5.03804347826088,0.16903251582226697,0.030451816930523797
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_8,4.894320843091336,0.17970107636426633,0.0016765239885849171
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Aeriscardovia,4.8818661971831085,0.18065469684040147,0.07408360050347924
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Tissierella,4.85025773195876,0.18309617494270075,0.0037818282150511957
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum,4.8475182481751835,0.18330922283671877,0.006096574360490736
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,4.792173913043478,0.1876632492279413,0.004265124899690865
