taxon,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,mean_abundance
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-001,-9.741455458370117,-0.28832567974679474,-9.741455458370117,9.453129778623323,0.0,0.0,G50,0.00038873118057549164
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Tsukamurellaceae; g__Tsukamurella,-7.839192296982609,1.6139374816407135,-7.839192296982609,9.453129778623323,0.0,0.0,G50,0.0002319824345654597
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Alkaliphilus,-9.222011235789141,-9.222011235789141,-0.9113153086069988,0.0,8.310695927182142,0.0,G25,0.0002281734567159811
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_16,0.0,0.0,9.229956216015,0.0,9.229956216015,0.0,G25,0.0001498683175298947
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae,1.8343681125323115,0.581607408116669,1.8231879410543024,1.2527607044156426,0.011180171478009093,0.011180171478009093,G50,0.0009383918950421754
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales,-0.7983153813146902,-0.8101408597913518,-0.07404918509804292,0.0118254784766616,0.7242661962166472,0.0118254784766616,G25,0.0016464679138812723
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales,2.27886888457921,2.298110534240376,1.838796068123222,0.019241649661165816,0.44007281645598795,0.019241649661165816,G25,0.0015412223980781823
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Peptoniphilus,10.038943912396238,10.062786037146772,0.0,0.0238421247505336,10.038943912396238,0.0238421247505336,G25,0.0005298916402381743
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,4.992632753786038,4.956216455937405,2.804523396145594,0.03641629784863376,2.1881093576404442,0.03641629784863376,G25,0.0023730162364180383
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group,0.9152426145657849,1.9863981323280275,0.8544867066401709,1.0711555177622425,0.06075590792561403,0.06075590792561403,G50,0.002961651928163238
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Gemmata,2.38929951698266,-7.257376376613523,2.45420594219013,9.646675893596184,0.06490642520746981,0.06490642520746981,G50,0.0004475036721387716
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group,9.966325596914812,9.891474048973983,0.0,0.07485154794082938,9.966325596914812,0.07485154794082938,G25,0.0004870428492936097
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella,10.008599440917834,0.0,10.083897881132517,10.008599440917834,0.07529844021468257,0.07529844021468257,G50,0.0005283591967753909
d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae,11.554929446861529,8.717535701514969,11.472938201726778,2.83739374534656,0.0819912451347502,0.0819912451347502,G50,0.0015672891211893402
d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Acetoanaerobium,0.39089853491800447,-8.339838496992563,0.29958352181278736,8.730737031910568,0.09131501310521711,0.09131501310521711,G50,0.00028614961876222703
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured,9.639363742895389,9.50542741571526,8.63942201880535,0.1339363271801286,0.9999417240900392,0.1339363271801286,G25,0.00048002291471015005
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Butyricicoccus,11.317859161999086,11.177494428905767,8.392232919191711,0.14036473309331932,2.9256262428073754,0.14036473309331932,G25,0.0013004726435475976
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__CHKCI001,10.449764705663114,10.245807838567899,10.299169525121409,0.203956867095215,0.15059518054170518,0.15059518054170518,G50,0.0009674445479312033
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Cellulomonadaceae,2.1175931804299464,-8.499834377451807,1.9514404234396607,10.617427557881753,0.16615275699028564,0.16615275699028564,G50,0.0008325038654224448
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella,10.541986566972385,10.35263817061103,0.0,0.18934839636135514,10.541986566972385,0.18934839636135514,G25,0.0006991145830643449
d__Bacteria,3.1466608344610796,2.8561220046744387,2.6539208152921394,0.2905388297866409,0.49274001916894017,0.2905388297866409,G25,0.0013269449404809466
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium,9.625329105950733,9.322061774008874,0.0,0.30326733194185884,9.625329105950733,0.30326733194185884,G25,0.0003569628483091397
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Gallibacterium,0.7699093743066598,-11.331689865735067,1.0839131657907202,12.101599240041727,0.3140037914840603,0.3140037914840603,G50,0.003108177072947491
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus,-3.2365193830616104,-3.602538412859782,-3.803906837740625,0.3660190297981716,0.5673874546790145,0.3660190297981716,G25,0.001237149248670488
