feature,kw_statistic,kw_pvalue,mean_NC,mean_PC,mean_G25,mean_G50,kw_qvalue,verified_name,id_system,verification_status,source_type,source_note
PWY-7219,10.0221052631579,0.0183791641764655,0.0139557190088378,0.00949090309935246,0.0139789055545649,0.0125741307625685,0.270926804400356,adenosine ribonucleotides de novo biosynthesis,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from BioCyc/MetaCyc pages for PWY-7219.
ANAGLYCOLYSIS-PWY,9.96157894736841,0.0188955677404606,0.0130513864500373,0.00909466414750477,0.0131716007131832,0.0118638734689058,0.270926804400356,glycolysis III (from glucose),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived pathway pages.
PWY-621,9.57789473684211,0.022516968061136,0.0119194880137442,0.00717370029200446,0.0119590974344269,0.0106557618548704,0.270926804400356,sucrose degradation III (sucrose invertase),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from pathway pages referencing MetaCyc.
P122-PWY,9.43789473684211,0.0240013176888717,0.0122133387387053,0.00627053982024549,0.0118449427482834,0.0106207260305667,0.270926804400356,heterolactic fermentation,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
P42-PWY,9.43789473684211,0.0240013176888717,0.00158247960339575,0.00479951078484142,0.00237952802791353,0.00265746089409999,0.270926804400356,incomplete reductive TCA cycle,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
UDPNAGSYN-PWY,9.36842105263158,0.0247731348150176,0.012166282323488,0.00797854484685939,0.0119764394527126,0.0108784131778858,0.270926804400356,UDP-N-acetyl-D-glucosamine biosynthesis I,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PWY4FS-7,9.35105263157895,0.0249698610363008,0.0134330306487476,0.00931843802000596,0.0133879853906484,0.0122519527071288,0.270926804400356,phosphatidylglycerol biosynthesis I (plastidic),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PWY4FS-8,9.35105263157895,0.0249698610363008,0.0134330306487476,0.00931843802000596,0.0133879853906484,0.0122519527071288,0.270926804400356,phosphatidylglycerol biosynthesis II (non-plastidic),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages.
PWY-5178,9.338,0.0251187111877572,0,5.70398698094179e-05,1.53954092123632e-05,1.78343738397981e-05,0.270926804400356,toluene degradation IV (aerobic) (via catechol),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc page for PWY-5178.
PWY-7208,9.26421052631579,0.025976699680354,0.0161355007119574,0.0101825471433269,0.0159563593566298,0.0143756094224331,0.270926804400356,superpathway of pyrimidine nucleobases salvage,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from BioCyc/MetaCyc PWY-7208 pages.
