feature,logFC_PC_vs_NC,logFC_G25_vs_NC,logFC_G50_vs_NC,delta_G25,delta_G50,min_delta,best_dose,verified_name,id_system,verification_status,source_type,source_note
ARGDEG-PWY,0,0,13.2628258965811,0,13.2628258965811,0,G25,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc page for ARGDEG-PWY.
ORNARGDEG-PWY,0,0,13.2628258965811,0,13.2628258965811,0,G25,superpathway of L-arginine and L-ornithine degradation,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc page for ORNARGDEG-PWY.
ORNDEG-PWY,0,0,13.2188382959008,0,13.2188382959008,0,G25,superpathway of ornithine degradation,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived pathway pages for ORNDEG-PWY.
PWY-5675,-12.2852736887692,-12.2852736887692,-12.2852736887692,0,0,0,G25,nitrate reduction V (assimilatory),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc page for PWY-5675.
VALDEG-PWY,0,14.7916868514438,0,14.7916868514438,0,0,G50,L-valine degradation I,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-derived pathway pages for VALDEG-PWY.
METHANOGENESIS-PWY,0,0,8.30676011247764,0,8.30676011247764,0,G25,methanogenesis,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-coded pathway usage in the literature.
PWY-5392,0,0,13.8504077659748,0,13.8504077659748,0,G25,reductive TCA cycle II,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc pages for PWY-5392.
PWY-6141,0,0,7.82155726580036,0,7.82155726580036,0,G25,,,,,
PWY-6148,0,0,10.2752882518057,0,10.2752882518057,0,G25,,,,,
PWY-6167,0,0,9.34109939171604,0,9.34109939171604,0,G25,,,,,
PWY-622,0,0,14.2792761537823,0,14.2792761537823,0,G25,,,,,
PWY-6349,0,0,8.00191734867206,0,8.00191734867206,0,G25,,,,,
PWY-6350,0,0,7.91491388082557,0,7.91491388082557,0,G25,,,,,
PWY-6565,0,0,11.6956039777995,0,11.6956039777995,0,G25,superpathway of polyamine biosynthesis III,MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc pages for PWY-6565.
PWY-6654,0,0,9.60441323790108,0,9.60441323790108,0,G25,,,,,
PWY-7286,0,0,8.02494064665095,0,8.02494064665095,0,G25,,,,,
PWY-7196,-0.117789778529616,-0.117488265301283,0.178042049774921,0.000301513228332578,0.295831828304536,0.000301513228332578,G25,,,,,
PWY-7374,3.39629798159427,3.39466796465196,2.46966055554157,0.00163001694231957,0.926637426052701,0.00163001694231957,G25,"1,4-dihydroxy-6-naphthoate biosynthesis I",MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc/BioCyc pages for PWY-7374.
AST-PWY,13.5718092133097,14.7849762452739,13.5759178659798,1.21316703196428,0.00410865267018146,0.00410865267018146,G50,L-arginine degradation II (AST pathway),MetaCyc pathway,verified,MetaCyc/BioCyc,Verified from MetaCyc-linked pathway pages for AST-PWY.
