genus	P1-1-JC-G50	P1-1-JC-NC	P1-2-JC-G25	P1-2-JC-G50	P1-2-JC-PC	P1-3-JC-G25	P1-3-JC-G50	P1-3-JC-NC	P1-3-JC-PC	P1-4-JC-G25	P1-4-JC-NC	P1-4-JC-PC	P1-5-JC-G50	P1-5-JC-PC	P1-6-JC-G50	P1-7-JC-G25	P1-7-JC-G50	P1-7-JC-NC	P1-7-JC-PC
Lactobacillus	12944	4666	25139	23762	12247	7996	6003	10847	3846	12159	17490	1667	7360	10758	9693	11697	23246	10476	4577
Staphylococcus	129	45	0	247	447	949	824	58	3808	28	215	540	158	168	62	56	0	169	359
Romboutsia	42	0	0	585	494	128	85	0	98	0	0	769	424	83	393	1139	130	70	3056
Unclassified	55	4	0	348	470	359	264	68	156	159	66	1146	726	904	314	466	10	226	900
Enterococcus	890	102	90	397	317	208	195	217	477	70	357	80	691	250	233	120	631	149	224
Rothia	1945	191	57	407	64	54	63	52	254	0	227	176	192	51	213	142	890	181	77
Aeriscardovia	93	1905	35	56	929	79	72	0	114	0	330	49	494	59	91	0	161	267	55
Corynebacterium	18	139	9	0	427	361	212	127	911	67	29	546	77	15	42	39	98	128	72
Muribaculaceae	0	0	0	0	0	471	194	0	0	686	0	333	0	414	138	542	0	124	0
uncultured	16	5	0	21	33	238	61	50	0	33	0	301	77	814	47	131	0	96	206
Streptococcus	187	91	0	69	130	20	31	7	148	0	143	239	152	177	142	178	104	102	163
Turicibacter	0	0	0	103	75	0	0	0	83	0	0	210	88	0	39	93	0	0	511
Paenibacillus	124	2	15	152	3	55	0	3	7	0	4	24	103	262	37	96	0	0	116
Gallibacterium	80	0	0	78	19	0	44	0	144	0	198	0	224	138	21	0	0	0	0
Kocuria	27	0	0	28	176	68	41	0	136	0	58	141	0	0	0	0	0	24	0
Lachnospiraceae_NK4A136_group	0	0	0	5	0	91	92	0	0	125	0	77	10	76	42	84	0	72	0
Clostridium_sensu_stricto_1	0	0	0	90	5	34	0	52	6	0	0	129	16	127	3	0	0	0	184
Bacteroides	0	0	0	0	0	162	0	0	0	31	0	70	0	171	67	21	0	7	47
JG30-KF-CM45	7	18	0	7	0	72	0	0	6	0	29	157	80	191	0	0	0	0	0
Clostridia_UCG-014	0	0	0	8	32	40	82	0	0	0	0	49	4	114	28	0	0	0	155
Paracoccus	15	0	0	0	0	36	0	0	0	0	0	172	89	68	14	28	0	71	0
Blautia	0	0	0	12	64	67	0	0	0	0	0	0	0	0	0	90	0	19	233
Brachybacterium	0	29	0	0	0	0	0	0	59	27	0	148	52	64	0	0	0	99	0
Subdoligranulum	0	0	0	0	57	0	0	0	0	0	0	38	0	0	3	71	0	0	299
Deinococcus	0	0	0	0	0	24	0	0	0	0	0	80	18	106	0	116	0	60	48
Saccharimonadales	22	0	0	0	0	0	51	0	0	0	0	0	62	100	0	78	0	112	3
Christensenellaceae_R-7_group	0	0	0	14	20	0	10	0	0	0	0	112	0	117	8	50	0	13	73
TM7a	0	0	0	9	0	0	0	0	8	0	0	14	34	188	0	41	0	71	47
Dietzia	18	0	0	9	0	8	79	12	49	0	0	118	33	58	0	0	0	0	8
Leucobacter	56	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	69	50
Gardnerella	31	53	0	0	55	0	25	0	26	0	7	0	81	34	30	0	11	23	0
Sedimentibacter	0	0	0	130	0	0	0	64	29	0	0	41	5	86	0	0	0	0	15
Facklamia	0	0	0	0	11	0	158	0	119	0	0	0	48	0	0	0	0	27	0
