genus	P1-1-JC-G50	P1-1-JC-NC	P1-2-JC-G25	P1-2-JC-G50	P1-2-JC-PC	P1-3-JC-G25	P1-3-JC-G50	P1-3-JC-NC	P1-3-JC-PC	P1-4-JC-G25	P1-4-JC-NC	P1-4-JC-PC	P1-5-JC-G50	P1-5-JC-PC	P1-6-JC-G50	P1-7-JC-G25	P1-7-JC-G50	P1-7-JC-NC	P1-7-JC-PC
Lactobacillus	0.76818991	0.63370909	0.99187216	0.87965054	0.73924066	0.62191802	0.66796484	0.90587941	0.33542648	0.88044895	0.90861863	0.16720160	0.59050064	0.57379060	0.78888256	0.71076138	0.91692963	0.78826185	0.33548340
Staphylococcus	0.00765579	0.00611164	0.00000000	0.00914375	0.02698135	0.07381193	0.09168799	0.00484383	0.33211233	0.00202752	0.01116941	0.05416249	0.01267651	0.00896048	0.00504598	0.00340281	0.00000000	0.01271633	0.02631386
Romboutsia	0.00249258	0.00000000	0.00000000	0.02165624	0.02981831	0.00995567	0.00945811	0.00000000	0.00854701	0.00000000	0.00000000	0.07713139	0.03401797	0.00442690	0.03198502	0.06921067	0.00512780	0.00526712	0.22399765
Unclassified	0.00326409	0.00054326	0.00000000	0.01288269	0.02836965	0.02792253	0.02937576	0.00567897	0.01360544	0.01151340	0.00342875	0.11494483	0.05824775	0.04821590	0.02555547	0.02831622	0.00039445	0.01700527	0.06596790
Enterococcus	0.05281899	0.01385305	0.00355100	0.01469663	0.01913442	0.01617796	0.02169801	0.01812260	0.04160126	0.00506879	0.01854642	0.00802407	0.05543967	0.01333404	0.01896313	0.00729173	0.02488956	0.01121144	0.01641868
Rothia	0.11543027	0.02594051	0.00224896	0.01506682	0.00386310	0.00420005	0.00701013	0.00434274	0.02215245	0.00000000	0.01179282	0.01765296	0.01540436	0.00272015	0.01733540	0.00862855	0.03510571	0.01361926	0.00564392
Aeriscardovia	0.00551929	0.25872606	0.00138094	0.00207308	0.05607533	0.00614451	0.00801157	0.00000000	0.00994244	0.00000000	0.01714375	0.00491474	0.03963415	0.00314683	0.00740620	0.00000000	0.00635058	0.02009029	0.00403137
Corynebacterium	0.00106825	0.01887817	0.00035510	0.00000000	0.02577413	0.02807809	0.02358963	0.01060631	0.07945229	0.00485156	0.00150657	0.05476429	0.00617779	0.00080004	0.00341825	0.00236981	0.00386557	0.00963130	0.00527743
Muribaculaceae	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.03663374	0.02158674	0.00000000	0.00000000	0.04967415	0.00000000	0.03340020	0.00000000	0.02208118	0.01123138	0.03293431	0.00000000	0.00933032	0.00000000
uncultured	0.00094955	0.00067907	0.00000000	0.00077740	0.00199191	0.01851132	0.00678758	0.00417571	0.00000000	0.00238957	0.00000000	0.03019057	0.00617779	0.04341565	0.00382518	0.00796014	0.00000000	0.00722348	0.01509932
Streptococcus	0.01109792	0.01235909	0.00000000	0.00255433	0.00784692	0.00155557	0.00344943	0.00058460	0.01290773	0.00000000	0.00742896	0.02397192	0.01219512	0.00944050	0.01155693	0.01081607	0.00410224	0.00767494	0.01194752
Turicibacter	0.00000000	0.00000000	0.00000000	0.00381298	0.00452707	0.00000000	0.00000000	0.00000000	0.00723879	0.00000000	0.00000000	0.02106319	0.00706033	0.00000000	0.00317409	0.00565109	0.00000000	0.00000000	0.03745511
Paenibacillus	0.00735905	0.00027163	0.00059183	0.00562692	0.00018108	0.00427783	0.00000000	0.00025054	0.00061050	0.00000000	0.00020780	0.00240722	0.00826380	0.01397408	0.00301131	0.00583338	0.00000000	0.00000000	0.00850253
Gallibacterium	0.00474777	0.00000000	0.00000000	0.00288750	0.00114686	0.00000000	0.00489596	0.00000000	0.01255887	0.00000000	0.01028625	0.00000000	0.01797176	0.00736039	0.00170912	0.00000000	0.00000000	0.00000000	0.00000000
Kocuria	0.00160237	0.00000000	0.00000000	0.00103654	0.01062353	0.00528895	0.00456215	0.00000000	0.01186115	0.00000000	0.00301314	0.01414243	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00180587	0.00000000
Others	0.01780415	0.02892843	0.00000000	0.02813460	0.04442567	0.14552384	0.09992211	0.04551528	0.11198325	0.04402607	0.00685750	0.37602808	0.13623235	0.24833324	0.06689998	0.10682384	0.00323446	0.09616253	0.24386132
