SampleID,Axis1,Axis2,Axis3,Replicate,Treat,CanonicalID
P1-1-JC-G50,0.12123187082891823,0.0743181567171443,0.23453631434002611,1,G50,G50__R1
P1-2-JC-G25,-0.01944123019928587,-0.252593490694467,0.0014253616172226658,2,G25,G25__R2
P1-2-JC-G50,0.03962889034963902,-0.18161851772449006,-0.030751212890241908,2,G50,G50__R2
P1-2-JC-PC,0.17293245852080827,0.06470015545983408,0.12330009060054557,2,PC,PC__R2
P1-3-JC-G25,0.17972390370599295,-0.08552332107152895,-0.03634341177988598,3,G25,G25__R3
P1-3-JC-NC,-0.28855421618704014,0.30925685314115087,0.24257907671845777,3,NC,NC__R3
P1-3-JC-PC,0.22466315866229006,0.2648252286802801,-0.2558084533985123,3,PC,PC__R3
P1-4-JC-G25,-0.46285838045354916,-0.022967268421880786,-0.0669381851348184,4,G25,G25__R4
P1-4-JC-NC,-0.40161416462533434,0.04178104990854238,-0.0645144636866173,4,NC,NC__R4
P1-5-JC-G50,0.2269387334868874,0.23289851990684987,-0.03384960571734578,5,G50,G50__R5
P1-5-JC-PC,-0.4217402253779358,0.011708566268376257,-0.11287889742371032,5,PC,PC__R5
P1-6-JC-G50,0.14214381294184752,-0.13515897416583217,-0.019089705374429358,6,G50,G50__R6
P1-7-JC-G25,0.07202971728959345,-0.22354673369137767,-0.002312446948923598,7,G25,G25__R7
P1-7-JC-G50,0.055716982544691186,-0.21450020350490867,-0.017186791856783002,7,G50,G50__R7
P1-7-JC-NC,0.1335109545216303,-0.06969127632300945,0.17387288138204587,7,NC,NC__R7
P1-7-JC-PC,0.22568773399084718,0.18611125551531568,-0.13604055044703134,7,PC,PC__R7
