pair_id,Treat,Replicate,RNA_sample,Microbiome_sample,SampleID,Tissue,SID_GlySer_pct,AMEn_kcal_kg,Analyzed_Gly_pct,Gly_supplement_pct,CP_analyzed_pct,AST_UL,ALT_UL,Uric_acid_mg_dL,Creatinine_mg_dL,Blood_HL_ratio,Feather_CORT_ng_g,Liver_color_score,Liver_L_star,Liver_a_star,Liver_b_star,Hemorrhagic_score,Liver_fat_pct_DM,FI_g_hen_d,FCR_g_g,HD_pct,EW_g,EM_g,Eggshell_L_star,Egg_yolk_color,Eggshell_strength,Haugh_unit
G25_R2,G25,2,P1-2-JM-G25-R,P1.2.JC.G25,P1.2.JC.G25,Jejunum_Content,1.706,2731,1.003,0.341,17.09,200.7,1.87,3.92,0.23,0.25,6.8,1.43,28.6,18.5,10.5,1.04,22.1,95,1.86,93.6,54.7,51.2,50.6,8.5,4.66,91.0
G25_R3,G25,3,P1-3-JM-G25-R,P1.3.JC.G25,P1.3.JC.G25,Jejunum_Content,1.706,2731,1.003,0.341,17.09,200.7,1.87,3.92,0.23,0.25,6.8,1.43,28.6,18.5,10.5,1.04,22.1,95,1.86,93.6,54.7,51.2,50.6,8.5,4.66,91.0
G25_R4,G25,4,P1-4-JM-G25-R,P1.4.JC.G25,P1.4.JC.G25,Jejunum_Content,1.706,2731,1.003,0.341,17.09,200.7,1.87,3.92,0.23,0.25,6.8,1.43,28.6,18.5,10.5,1.04,22.1,95,1.86,93.6,54.7,51.2,50.6,8.5,4.66,91.0
G50_R1,G50,1,P1-1-JM-G50-R,P1.1.JC.G50,P1.1.JC.G50,Jejunum_Content,2.048,2736,1.313,0.683,17.8,269.3,3.65,5.96,0.27,0.16,6.1,1.33,25.7,16.2,7.4,0.58,19.3,92,1.79,95.4,53.9,51.4,51.3,8.3,4.67,90.5
G50_R2,G50,2,P1-2-JM-G50-R,P1.2.JC.G50,P1.2.JC.G50,Jejunum_Content,2.048,2736,1.313,0.683,17.8,269.3,3.65,5.96,0.27,0.16,6.1,1.33,25.7,16.2,7.4,0.58,19.3,92,1.79,95.4,53.9,51.4,51.3,8.3,4.67,90.5
G50_R3,G50,3,P1-3-JM-G50-R,P1.3.JC.G50,P1.3.JC.G50,Jejunum_Content,2.048,2736,1.313,0.683,17.8,269.3,3.65,5.96,0.27,0.16,6.1,1.33,25.7,16.2,7.4,0.58,19.3,92,1.79,95.4,53.9,51.4,51.3,8.3,4.67,90.5
G50_R6,G50,6,P1-6-JM-G50-R,P1.6.JC.G50,P1.6.JC.G50,Jejunum_Content,2.048,2736,1.313,0.683,17.8,269.3,3.65,5.96,0.27,0.16,6.1,1.33,25.7,16.2,7.4,0.58,19.3,92,1.79,95.4,53.9,51.4,51.3,8.3,4.67,90.5
G50_R7,G50,7,P1-7-JM-G50-R,P1.7.JC.G50,P1.7.JC.G50,Jejunum_Content,2.048,2736,1.313,0.683,17.8,269.3,3.65,5.96,0.27,0.16,6.1,1.33,25.7,16.2,7.4,0.58,19.3,92,1.79,95.4,53.9,51.4,51.3,8.3,4.67,90.5
NC_R1,NC,1,P1-1-JM-NC-R,P1.1.JC.NC,P1.1.JC.NC,Jejunum_Content,1.365,2725,0.645,0.0,16.62,306.0,4.0,5.3,0.25,0.25,7.9,3.04,32.0,20.7,14.8,1.39,29.5,96,1.84,95.1,54.7,52.1,50.1,8.5,4.7,91.0
NC_R3,NC,3,P1-3-JM-NC-R,P1.3.JC.NC,P1.3.JC.NC,Jejunum_Content,1.365,2725,0.645,0.0,16.62,306.0,4.0,5.3,0.25,0.25,7.9,3.04,32.0,20.7,14.8,1.39,29.5,96,1.84,95.1,54.7,52.1,50.1,8.5,4.7,91.0
NC_R4,NC,4,P1-4-JM-NC-R,P1.4.JC.NC,P1.4.JC.NC,Jejunum_Content,1.365,2725,0.645,0.0,16.62,306.0,4.0,5.3,0.25,0.25,7.9,3.04,32.0,20.7,14.8,1.39,29.5,96,1.84,95.1,54.7,52.1,50.1,8.5,4.7,91.0
NC_R7,NC,7,P1-7-JM-NC-R,P1.7.JC.NC,P1.7.JC.NC,Jejunum_Content,1.365,2725,0.645,0.0,16.62,306.0,4.0,5.3,0.25,0.25,7.9,3.04,32.0,20.7,14.8,1.39,29.5,96,1.84,95.1,54.7,52.1,50.1,8.5,4.7,91.0
PC_R2,PC,2,P1-2-JM-PC-R,P1.2.JC.PC,P1.2.JC.PC,Jejunum_Content,1.365,2825,0.635,0.0,16.53,232.1,2.4,3.67,0.25,0.18,11.5,1.5,25.5,14.4,7.3,0.68,15.1,91,1.79,93.4,54.6,51.0,50.2,8.4,4.68,91.1
PC_R3,PC,3,P1-3-JM-PC-R,P1.3.JC.PC,P1.3.JC.PC,Jejunum_Content,1.365,2825,0.635,0.0,16.53,232.1,2.4,3.67,0.25,0.18,11.5,1.5,25.5,14.4,7.3,0.68,15.1,91,1.79,93.4,54.6,51.0,50.2,8.4,4.68,91.1
PC_R4,PC,4,P1-4-JM-PC-R,P1.4.JC.PC,P1.4.JC.PC,Jejunum_Content,1.365,2825,0.635,0.0,16.53,232.1,2.4,3.67,0.25,0.18,11.5,1.5,25.5,14.4,7.3,0.68,15.1,91,1.79,93.4,54.6,51.0,50.2,8.4,4.68,91.1
PC_R5,PC,5,P1-5-JM-PC-R,P1.5.JC.PC,P1.5.JC.PC,Jejunum_Content,1.365,2825,0.635,0.0,16.53,232.1,2.4,3.67,0.25,0.18,11.5,1.5,25.5,14.4,7.3,0.68,15.1,91,1.79,93.4,54.6,51.0,50.2,8.4,4.68,91.1
PC_R7,PC,7,P1-7-JM-PC-R,P1.7.JC.PC,P1.7.JC.PC,Jejunum_Content,1.365,2825,0.635,0.0,16.53,232.1,2.4,3.67,0.25,0.18,11.5,1.5,25.5,14.4,7.3,0.68,15.1,91,1.79,93.4,54.6,51.0,50.2,8.4,4.68,91.1
