pair_id,Treat,Replicate,RNA_sample,Microbiome_sample,Tissue,SID_GlySer_pct,Analyzed_Gly_pct,Gly_supplement_pct
G25_R2,G25,2,P1-2-JM-G25-R,P1.2.JC.G25,Jejunum_Content,1.706,1.003,0.341
G25_R3,G25,3,P1-3-JM-G25-R,P1.3.JC.G25,Jejunum_Content,1.706,1.003,0.341
G25_R4,G25,4,P1-4-JM-G25-R,P1.4.JC.G25,Jejunum_Content,1.706,1.003,0.341
G50_R1,G50,1,P1-1-JM-G50-R,P1.1.JC.G50,Jejunum_Content,2.048,1.313,0.683
G50_R2,G50,2,P1-2-JM-G50-R,P1.2.JC.G50,Jejunum_Content,2.048,1.313,0.683
G50_R3,G50,3,P1-3-JM-G50-R,P1.3.JC.G50,Jejunum_Content,2.048,1.313,0.683
G50_R6,G50,6,P1-6-JM-G50-R,P1.6.JC.G50,Jejunum_Content,2.048,1.313,0.683
G50_R7,G50,7,P1-7-JM-G50-R,P1.7.JC.G50,Jejunum_Content,2.048,1.313,0.683
NC_R1,NC,1,P1-1-JM-NC-R,P1.1.JC.NC,Jejunum_Content,1.365,0.645,0.0
NC_R3,NC,3,P1-3-JM-NC-R,P1.3.JC.NC,Jejunum_Content,1.365,0.645,0.0
NC_R4,NC,4,P1-4-JM-NC-R,P1.4.JC.NC,Jejunum_Content,1.365,0.645,0.0
NC_R7,NC,7,P1-7-JM-NC-R,P1.7.JC.NC,Jejunum_Content,1.365,0.645,0.0
PC_R2,PC,2,P1-2-JM-PC-R,P1.2.JC.PC,Jejunum_Content,1.365,0.635,0.0
PC_R3,PC,3,P1-3-JM-PC-R,P1.3.JC.PC,Jejunum_Content,1.365,0.635,0.0
PC_R4,PC,4,P1-4-JM-PC-R,P1.4.JC.PC,Jejunum_Content,1.365,0.635,0.0
PC_R5,PC,5,P1-5-JM-PC-R,P1.5.JC.PC,Jejunum_Content,1.365,0.635,0.0
PC_R7,PC,7,P1-7-JM-PC-R,P1.7.JC.PC,Jejunum_Content,1.365,0.635,0.0
