HostSampleID,Treat,Replicate,CanonicalID,MicrobiomeSampleID
P1-3-JM-NC-R,NC,3,NC__R3,P1-3-JC-NC
P1-4-JM-NC-R,NC,4,NC__R4,P1-4-JC-NC
P1-7-JM-NC-R,NC,7,NC__R7,P1-7-JC-NC
P1-2-JM-PC-R,PC,2,PC__R2,P1-2-JC-PC
P1-3-JM-PC-R,PC,3,PC__R3,P1-3-JC-PC
P1-5-JM-PC-R,PC,5,PC__R5,P1-5-JC-PC
P1-7-JM-PC-R,PC,7,PC__R7,P1-7-JC-PC
P1-2-JM-G25-R,G25,2,G25__R2,P1-2-JC-G25
P1-3-JM-G25-R,G25,3,G25__R3,P1-3-JC-G25
P1-4-JM-G25-R,G25,4,G25__R4,P1-4-JC-G25
P1-1-JM-G50-R,G50,1,G50__R1,P1-1-JC-G50
P1-2-JM-G50-R,G50,2,G50__R2,P1-2-JC-G50
P1-6-JM-G50-R,G50,6,G50__R6,P1-6-JC-G50
P1-7-JM-G50-R,G50,7,G50__R7,P1-7-JC-G50
