SampleID,Axis1,Axis2,Axis3,Replicate,Treat,CanonicalID
P1-1-JC-G50,-0.01739101958270603,-0.03485988746706572,0.05040576484658782,1,G50,G50__R1
P1-2-JC-G25,0.04993314567885441,0.013544102866558692,-0.009237334449197616,2,G25,G25__R2
P1-2-JC-G50,0.021725591412931112,0.013244141827349247,-0.007490123231537867,2,G50,G50__R2
P1-2-JC-PC,-0.03521444505513595,-0.030397685393033863,0.03919682017854389,2,PC,PC__R2
P1-3-JC-G25,-0.0022477066041137325,-0.01369008730698549,-0.027900096445409906,3,G25,G25__R3
P1-3-JC-NC,0.0354560257004649,-0.006477529451026048,0.0279825207961509,3,NC,NC__R3
P1-3-JC-PC,-0.07101369753881734,-0.06995118029470057,-0.07425277505869363,3,PC,PC__R3
P1-4-JC-G25,0.05855605408838585,0.014784896496459568,-0.01231879010202627,4,G25,G25__R4
P1-4-JC-NC,0.0229765180084568,-0.003712664100270659,-0.008689758980028366,4,NC,NC__R4
P1-5-JC-G50,-0.05259129207154033,-0.027369047629875548,0.04252368228015401,5,G50,G50__R5
P1-5-JC-PC,0.033141025497429796,0.009607646945361679,-0.012143940233556846,5,PC,PC__R5
P1-6-JC-G50,0.004707276398447776,0.010527085572955444,-0.00421392168334204,6,G50,G50__R6
P1-7-JC-G25,0.016855665009145572,0.030666464757500074,-0.007816934669967092,7,G25,G25__R7
P1-7-JC-G50,0.02196733809769377,0.0021010388206207345,-0.00849584338967202,7,G50,G50__R7
P1-7-JC-NC,0.011936128484142909,-0.013298447666313853,0.015182583235262793,7,NC,NC__R7
P1-7-JC-PC,-0.09879660752363964,0.10528115202246627,-0.0027318530932678065,7,PC,PC__R7
