pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,3.20722323504681e-17,1.41406472433214e-13,1.06720998682811,0.512596820636566,2.33948190561807,255,CYR61|ADAMTS5|CAV2|EGFL6|ADAMTS1|POSTN|SMOC1|LAMA2|CAV1|GREM1|FAP|COL28A1|LOXL1|B4GALT1|PHLDB1|ITGB3|OLFML2B|EGFLAM|FKBP10|ADAMTSL1|CCDC80|COMP|TGFB2|FLRT2|OLFML2A|LOX|RXFP1|ADAMTS2|COL6A1|P4HA1|ADAMTS15|COLEC12|MMP1|TCF15|LAMC1|KAZALD1|COL8A1|ADTRP|QSOX1|P4HA3|DDR2|CRTAP|GAS6|SERPINH1|P3H1|COL1A1|AEBP1|WT1|NTN4|TGFBR3|FSCN1|COL5A1|PXDN|LOXL3|PRICKLE1|COL4A1|SH3PXD2B|COL3A1|SULF2|COL5A2|TIE1|RUNX1|RECK|ITGB1|CTSK|PHLDB2|ANTXR1|APP|ADAMTS9|MMP2|COL16A1|POMT1|MMP16|HPSE|P3H4|COL18A1|LRP1|ENG|MMP23A|COL19A1|ECM2|COL4A2|GPM6B|ADAMTS6|RIC8A|LUM|TNFRSF1B
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,1.03501743404984e-14,2.28169593336287e-11,0.986546283587582,-0.419818542797163,-2.29397928641745,271,CYP1A2|FAH|HAAO|DLAT|ABCB11|AMT|PHYH|DLD|DDO|ACOT8|ENPP4|PAH|HSD17B10|DPYD|KYAT3|DCXR|GK2|GNPDA1|GPT2|LONP2|CYP1A1|HSD17B4|XYLB|GLB1|ACADL|ECI2|ACAA2|HIBADH|ABAT|EHHADH|AASDHPPT|ACADS|PEX5|KYAT1|DECR2|TST|SDSL|XDH|PPARA|CYP46A1|BLMH|ENTPD7|HADH|ALDH5A1|FABP1|SCARB1|DECR1|ACOX3|IVD|GALE|CPT2|CROT|DLST|ACOX2|ACOX1|AMDHD2|MTHFS|LPIN2|ADA|ACMSD|HAGH|GSTZ1|AKR1D1|ACAD11|QDPR|ALDH3B1|AIG1|ALDH2|GLUD2|ECH1|GCSH|CDO1|BCKDHA|GOT1|ADHFE1|ADAL|ABCD3|ETFDH|FUT9|CYP3A4|CRAT|HMGCL|SORD|GLB1L2|GDA|PEX13|SCP2|FUT10|RIDA|GLUL|ALDH4A1|ABHD2|AMACR|TPI1|GPD2|CSAD|DERA|SLC16A1|ECHDC2
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,6.91420659961053e-13,1.01615789658943e-09,0.921426003494898,-0.462316870907555,-2.44426247288537,184,FAH|HAAO|DLAT|ABCB11|AMT|PHYH|DLD|DDO|ACOT8|PAH|HSD17B10|KYAT3|DCXR|GNPDA1|GPT2|LONP2|HSD17B4|XYLB|ACADL|ECI2|ACAA2|HIBADH|ABAT|EHHADH|AASDHPPT|ACADS|PEX5|KYAT1|DECR2|TST|SDSL|PPARA|BLMH|HADH|ALDH5A1|FABP1|DECR1|ACOX3|IVD|CPT2|CROT|DLST|ACOX2|ACOX1|AMDHD2|MTHFS|LPIN2|ACMSD|GSTZ1|AKR1D1|ACAD11|QDPR|AIG1|GLUD2|ECH1|GCSH|CDO1|BCKDHA|GOT1|ABCD3|ETFDH|CRAT|HMGCL|SORD|PEX13|SCP2|RIDA|GLUL|ALDH4A1
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,9.63378042410572e-12,1.06188344724705e-08,0.875325132024659,-0.500202789503809,-2.47659413994077,128,ASIC5|NDUFB10|SLC15A1|CLCN7|SLC36A1|SLC2A9|ATP5S|NDUFS1|ATP5I|NDUFS8|NDUFA9|OTOP3|ATP5G3|ATP5F1AZ|SLC9A2|NNT|SLC46A1|UQCRFS1|NDUFA12|GHITM|UQCRC1|NDUFA5|SLC47A2|ATP5C1|ATP1B1|COX7B|NDUFB4|NDUFA6|SLC25A3|NDUFA10|NDUFS7|ATP5PB|CLCN3|SLC7A11|COX7A2L|NDUFB8|NDUFS2|SLC25A22|SLC9A6|ATP6V0D1|ATP6V1A|CTNS|NDUFC2|SLC25A13|PHB2|NDUFS4|ATP6V0A2|LETM1|NDUFA8|SLC9B2|ATP5O|ATP6V1E1|NDUFB2|SLC16A1|NDUFV1|ATP6AP2|ATP6V1B2|SLC15A2|ATP1A1|ATP5G1|ATP12A|NDUFS3|SLC9A3|SLC11A2|ATP5J|UQCRHL|ATP5L|SLC18B1|TMEM175|NDUFB5|ATP5B|SLC9A4
GOBP_OXIDATIVE_PHOSPHORYLATION,3.71045329312558e-11,3.27187771387814e-08,0.851339057116899,-0.5557050598034,-2.62122067419622,93,NDUFB10|DLD|SDHB|SDHA|PPIF|NDUFS1|ATP5I|NDUFS8|NDUFA9|ATP5F1AZ|UQCRFS1|NDUFA12|GHITM|UQCRC1|NDUFA5|ATP5C1|COX7B|NDUFB4|NDUFA13|NDUFA6|CYCS|NDUFA10|NDUFS7|ATP5PB|TMEM135|COX7A2L|NDUFB8|NDUFS2|SLC25A33|SIRT3|UQCRB|COX6C|MTCH2|NDUFC2|UQCRC2|NDUFS4|UQCRQ|NDUFA8|ATP5O|NDUFB2|NDUFV1|SDHD|NDUFS3|NDUFAF1|RHOA|ATP5J|UQCRHL|ATP5L|COX6A1|NDUFB5|ATP5B|CHCHD2|NDUFA11
GOBP_ELECTRON_TRANSPORT_CHAIN,1.05749568641535e-10,7.77083080234214e-08,0.839088935621274,-0.572421119497527,-2.61076290644395,80,NDUFB10|DLD|SDHB|SDHA|HCCS|NDUFS1|NDUFS8|NDUFA9|POR|VPS54|PDIA5|UQCRFS1|NDUFA12|GHITM|UQCRC1|NDUFA5|FDX1|COX7B|NDUFB4|NDUFA6|CYCS|NDUFA10|NDUFS7|COX7A2L|NDUFB8|ETFDH|NDUFS2|UQCRB|COX6C|MTCH2|NDUFC2|UQCRC2|NDUFS4|UQCRQ|NDUFA8|NDUFB2|NDUFV1|SDHD|PPARGC1A|NDUFS3|NDUFAF1|UQCRHL|COX6A1|NDUFB5|PUM2|CHCHD2|NDUFA11
GOBP_AMIDE_METABOLIC_PROCESS,1.70037265784218e-10,1.07099186406088e-07,0.826657301178302,-0.334540936778523,-1.89404406999545,357,MME|PLA2G7|DLAT|CERK|ABCC2|ACE|GSTK1|ACER1|DLD|ACSF2|COL4A3BP|ACOT8|HPGDS|ACE2|NCSTN|MGST2|ACOT9|GNPDA1|ENPEP|HSD17B4|GLB1|ANPEP|PRKCD|IDE|FH|GBA2|AASDHPPT|ERO1B|NAAA|REN|XDH|ELOVL2|DYRK1A|ASMT|SMPDL3B|GSTO2|B4GALT3|SLC46A1|MMACHC|HEXB|FABP1|SGPL1|PEMT|SUCLG1|CTSZ|DHFR|GPAM|ST6GALNAC5|CROT|SAMD8|IDH1|GCLC|DLST|AMDHD2|MTHFS|ORMDL1|OGDH|MEP1A|HAGH|GSTZ1|PLPP2|P4HB|CERS5|DPP4|PCSK5|CASP3|NIT1|SLC25A16|DISP1|CHAC2|P2RX7|PSEN2|GCLM|SLC7A11|ACSM3|BCKDHA|ST6GALNAC3|VNN2|ACSBG1|SLC16A12|SIRT3|MUT|KDSR|BCHE|XPNPEP1|UGT8|CTNS|PDHA2|SGMS1|SLC30A8|GLA|NANP|SLC25A42|APEH|LCT|EPHA4|MBOAT4|SUCLG2|GNE|NR1H4|ACSL5|ATP6AP2|PSEN1|APOA1|PREP|PM20D1|CERS2|PCSK7|PPCS|NANS|ACOT7|MCCC2|CLN6|CPE|DGAT2|HACD2|SLC5A6|MCCC1|ECE2|HEXA|PDK4|TM9SF2|ST3GAL5|MPC2|ACSF3|B4GALT5|ARL6IP5|CPS1|ECE1|RPTOR|BAAT|CRYAB|ST8SIA3|VAPA|FA2H|SMPD4|SPTSSB|PDHB|ACSM5|NFE2L2|FTCD|ACSS1A
GOBP_ATP_BIOSYNTHETIC_PROCESS,3.65976192020079e-10,1.61358903061653e-07,0.814035837847908,-0.586425414599712,-2.59156375788888,68,NDUFB10|SDHB|SDHA|ATP5S|NDUFS1|ATP5I|NDUFS8|NDUFA9|ATP5G3|ATP5F1AZ|PARK2|PPARA|NDUFA12|NDUFA5|ATP5C1|NDUFB4|NDUFA13|NDUFA6|NDUFA10|NDUFS7|ATP5PB|NDUFB8|NDUFS2|NDUFC2|SLC25A13|NDUFS4|NDUFA8|ATP5O|NDUFB2|NDUFV1|SDHD|LIPA|ATP5G1|NDUFS3|ATP5J|ATP5L|NUDT2|MAP2K1|NDUFB5|ATP5B|NDUFA11|COX11
GOBP_LIPID_MODIFICATION,3.26042599668654e-10,1.61358903061653e-07,0.814035837847908,-0.461134003321326,-2.30876544957868,137,PLA2G7|CYP1A2|CYP3A5|ABCB11|PHYH|ACOT8|HSD17B10|LONP2|CYP1A1|DGKQ|HSD17B4|ACADL|ECI2|ACAA2|POR|EHHADH|ACADS|PEX5|DECR2|INPP5B|CYP4V2|INPP5A|PPARA|SGPP2|HADH|FABP1|DECR1|ACOX3|IVD|CPT2|CROT|OCRL|ACOX2|ACOX1|MTMR6|PLPP2|ACAD11|EPHX2|PLPP4|ECH1|SACM1L|ABCD3|ETFDH|CYP3A4|MTMR4|CRAT|CHRM5|ADIPOR1|PEX13|SCP2|MBOAT4|AMACR|SYNJ1|ECHDC2|SLC25A17|APPL2|PPARGC1A|LPCAT3|DGAT2|ABCD2|PDK4|ECI1|DGKG
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,3.3380040551316e-10,1.61358903061653e-07,0.814035837847908,-0.316334375957228,-1.8319739111208,427,NDUFB10|HAAO|DLAT|BPNT1|PAPSS2|H6PD|ME1|DLD|ACSF2|DNM1L|ACOT8|ENPP4|SDHB|SLC2A9|SULT1C3|SDHA|NUDT4|MDH2|DPYD|MDH1|ACOT9|DCXR|ATP5S|NDUFS1|ATP5I|HSD17B4|NDUFS8|NAMPTP1|NDUFA9|ATP5G3|MFN1|ATP5F1AZ|PARK2|NNT|XDH|ELOVL2|PPARA|ENTPD7|NME3|NDUFA12|FABP1|PRKAG1|NDUFA5|SUCLG1|SLC4A7|GPAM|ATP5C1|CLPX|ATP1B1|CROT|CARMIL1|IDH1|EIF6|DLST|CACNB4|ENPP3|NDUFB4|NDUFA13|ADA|NDUFA6|AK2|OGDH|NDUFA10|NDUFS7|ATP5PB|ACMSD|RD3|HKDC1|INSR|GTPBP1|CASK|P2RX7|ACSM3|BCKDHA|GOT1|ADAL|PFKFB3|ACO1|VNN2|NDUFB8|ACSBG1|DLG1|OPA1|NDUFS2|RPIA|IDH2|SLC25A22|MUT|MTCH2|ATP6V1A|CTNS|PDHA2|NDUFC2|GDA|AK5|ZBTB20|SLC25A13|PGD|NDUFS4|MTTP|GUCY2C|NDUFA8|SUCLG2|TPI1|ATP5O|GPD2|DERA|NDUFB2|ACSL5|NDUFV1|PSEN1|SDHD|LIPA|SLC4A4|ATP6V1B2|MAGI3|ATP5G1|ICMT|ABCC6|PFKL|GMPR2|AK3|BEND3|AFMID|PPCS|APRT|NDUFS3|FBP1|ACOT7|MCCC2|ATP5J|DGAT2|NME7|PGM1|HACD2|ENPP1|KDM1A|PRKAA2|PDK4|ATP5L|NUDT2|MAP2K1|TKTL1|ABCG2|MPC2|ACSF3|HSPA8|PRPS1L1|IMPDH2|GOT2|RPTOR|NDUFB5|G6PC|BAAT|ATP5B|NOCT|NDUFA11|RBKS|SHPK|COX11|MDH1B|GMPS|PDHB|ACSM5|HDAC4|ACSS1A|C9orf64
