pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_GOLGI_VESICLE_TRANSPORT,5.02694383977097e-17,2.14248346451039e-13,1.06720998682811,-0.485488687636259,-2.40846012358146,263,KDELR2|RP2|MCFD2|SCAMP1|TMED7|LYPLA1|AP3S1|RBSN|VAPB|TRIP11|RABGGTB|TMED5|SEC22A|EXOC1|CUL3|GABARAPL2|TBC1D14|AP1M1|RER1|RAB2A|ARF4|YIPF4|PDCD6|AP1AR|SEC23A|SPAST|PSMD14|ARL8B|ACSL3|GOPC|SNAP23|NAPG|GOSR2|VPS41|ARFGAP3|KIF16B|SNX2|COPB1|SEC23IP|COG2|VPS13A|GOLT1B|C16orf62|TRAPPC13|INSIG1|SURF4|SAR1B|COPB2|EXOC5|BCAP29|PGAP1|STX18|BET1|LAMP1|ARFGEF2|LMAN1L|TMED2|PRKCI|RNF139|COG3|MON2|RAB11A|RAB1B|RAB3IP|TRAPPC11|ATP9B|VPS13C|SCAMP3|MIA2|TRAPPC10|SEC24B|TRAPPC8|GOLGA4|CNIH4|ATP2C1|YIPF5|GOLGA5|NBAS|DOPEY2|EXOC2|COPE|RAB43|CCDC93|ERGIC1|SCFD1|COMMD1|SEC22B|EXOC6|RABIF|VAPA|SEC24A|SYS1|RAB14|RINT1|TRAPPC12|EHD3|ANXA13|RAB33B|GAK|AP3M1|EPS15|PRKD1|EXOC8|VTI1A|RABEP1|MYO5A
GOBP_MACROAUTOPHAGY,9.90326471337077e-15,2.11038571041931e-11,0.986546283587582,-0.443666964862397,-2.23586344265217,315,ATP6V1C1|ATP6V0C|SPTLC1|MTM1|LYPLA1|RAB5A|UFM1|ATP6V0E1|VPS35|EXOC1|ATP6V1E1|GABARAPL2|TBC1D14|CASP3|RALB|RAB2A|CUL1|VPS26A|VDAC1|VPS37A|SNX5|LAMP2|CALM1|DDRGK1|SNAP29|VMP1|PSMD14|CHMP2B|MFSD8|ARL8B|VPS36|RAB3GAP1|BNIP3L|MAP3K7|RAB7A|CALCOCO2|VPS41|PDCD6IP|ATG7|STAM2|CCPG1|PSEN1|ATG5|SH3GLB1|NIPSNAP2|UBA5|ATG3|CHMP1B|SEC62|UFL1|VPS4B|UBQLN1|SKP1|ATP6V1A|VTA1|LGALS8|SNX32|ATG12|VPS39|CTTN|ATP6V1G1|TMEM41B|BNIP3|TBK1|PIK3C3|UBXN2A|RAB1B|TSG101|USP33|CHMP5|VPS18|AKT1|VPS13C|C9orf72|RB1CC1|ZNRF2|CLEC16A|ATP6V1D|ULK2|SPG20|MFN2|STAM|ATG2A|DNM1L|RAB43|WAC|FBXO7|TOMM7|SCFD1|PLAA|SNX4|SEC22B|SNAP47|ELAVL1|SNX30|ATG4B|ACBD5|ATP6V1B2|PIK3CA|CHMP3|PEX2|FAM134B|LRBA|ATP6V0A2|RAB33B|FEZ2|CHMP4C|SIRT1|FUNDC1|EXOC8|SNX14|VTI1A|STX12|HIF1A|GAPDH|USP30
GOBP_VESICLE_ORGANIZATION,2.91277725652846e-13,4.13808555577477e-10,0.932595211336209,-0.429376008830615,-2.15527078351763,307,ATP6V1C1|STX2|AP1S2|ATP6V0C|VAV3|AP3S1|WASL|STX7|VAPB|RAB32|ATP6V1E1|CUL3|ATP6AP2|AP1M1|TBPL1|RAB2A|PLEKHA3|YIPF4|RAB27A|AKTIP|PDCD6|SEC23A|VPS37A|SNX5|SNAP29|CHMP2B|STX16|SLC9A8|ARL8B|VPS36|SNAP23|RAB7A|GOSR2|VPS41|PDCD6IP|ARFGAP3|STAM2|SNX2|RAB20|ANKRD27|TRAPPC13|CHMP1B|INSIG1|PI4K2B|TMF1|SURF4|VPS4B|SAR1B|F2R|ATP6V1A|BET1|VTA1|DCAF17|ARFGEF2|TMED2|SNX32|BLOC1S6|PRKCI|VPS39|ATP6V1G1|PIK3C3|RAB11A|RAB1B|TSG101|STXBP6|CHMP5|WASHC4|TRAPPC11|VPS18|ANXA2|C9orf72|SDCBP|TRAPPC10|ZNRF2|TMEM175|SEC24B|TRAPPC8|ATP6V1D|PLEKHF2|YIPF5|SDC1|STAM|POC1B|SEC22B|AXDND1|SNAP47|LAPTM4B|VAPA|PAFAH1B1|SEC24A|MFSD14A|ATP6V1B2|USP8|RAB14|TRAPPC12|CHMP3|AGFG1|CHMP4C|AP3M1|EPS15|HPS3|DTNBP1|EXOC8|VTI1A|STX12|BLOC1S2|LAMTOR1|SYNJ1|TGFBRAP1
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,6.00675209832557e-12,4.45759319098023e-09,0.887074988399873,-0.561682104437,-2.49282537809226,109,MCFD2|TMED7|VAPB|TRIP11|RABGGTB|TMED5|SEC22A|CUL3|RAB2A|ARF4|YIPF4|PDCD6|SEC23A|SPAST|GOPC|GOSR2|COPB1|SEC23IP|GOLT1B|TRAPPC13|INSIG1|SURF4|SAR1B|COPB2|BCAP29|PGAP1|STX18|BET1|LMAN1L|TMED2|RNF139|COG3|RAB1B|TRAPPC11|MIA2|TRAPPC10|SEC24B|TRAPPC8|CNIH4|YIPF5|COPE|RAB43|ERGIC1|SCFD1|SEC22B|VAPA|SEC24A|RINT1|TRAPPC12
GOBP_VACUOLE_ORGANIZATION,5.56966100523135e-12,4.45759319098023e-09,0.887074988399873,-0.46358572986546,-2.24230840138429,206,ATP6V0C|VMA21|MTM1|RAB5A|CREG1|CLN8|VPS35|GABARAPL2|ATP6AP2|TBC1D14|RALB|MAN2A1|AKTIP|LAMP2|VMP1|CHMP2B|MFSD8|ARL8B|RAB3GAP1|RAB7A|LAPTM4A|TMEM251|GNPTAB|ATG7|RAB20|LIPA|PSEN1|FIG4|ATG5|SH3GLB1|ATG3|CHMP1B|VPS4B|UBQLN1|ATP6V1A|ATF2|LAMP1|ARSB|ATG12|VPS39|TMEM106B|TMEM41B|BNIP3|PIK3C3|UBXN2A|RAB1B|USP33|CHMP5|VPS18|ANXA2|C9orf72|AP5M1|RB1CC1|TMEM175|FLCN|ATP6V1D|TMEM63A|ULK2|MFN2|ATG2A|RAB43|OSBPL11|SCFD1|SNX4|SEC22B|PPP3CB|ELAVL1|LAPTM4B|SNX30|ATG4B|RAB14|CHMP3|FAM134B|LRBA|RAB33B|FEZ2|CHMP4C|STX12|HEXB
GOBP_ENDOSOMAL_TRANSPORT,6.27535409335556e-12,4.45759319098023e-09,0.887074988399873,-0.44153397257158,-2.18444841874426,252,RAB21|RAB5A|MAPK3|ARFIP1|VPS29|RBSN|TMEM50A|VPS35|LEPROT|VPS50|COMMD5|TBC1D14|COMMD2|RAB8B|PLEKHA3|AKTIP|TBC1D23|EVI5|VPS26A|VPS37A|SNX5|CHMP2B|STX16|ARL8B|VPS36|CCDC53|TMEM87B|RAB7A|KIF16B|STAM2|SNX2|RAB9A|ANKRD27|GOLT1B|C16orf62|NSG1|DYNC1LI1|CHMP1B|ACAP2|SURF4|VPS4B|VTA1|LMAN1L|SNX32|VPS39|MON2|DENND1B|PIK3C3|RAB11A|FAM45A|TSG101|CHMP5|WASHC4|AP5M1|COMMD8|TRAPPC10|INPP5F|MAP2K1|CLEC16A|ARL1|SNX9|SNX16|STAM|CLTC|LMTK2|CCDC93|COMMD1|SNX4|LAPTM4B|SNX30|RAB35|USP7|DPY30|RAB14|EHD3|CHMP3|TSSC1|CHMP4C|EPS15|VTI1A|COMMD9|STX12|BLOC1S2|RIC1|LAMTOR1|ARHGAP8|EZR|TMEM50B|SNX7|ARF6
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,1.17277219148615e-11,7.14050725730564e-09,0.875325132024659,0.404290321020039,2.17786269830156,245,BMP2|AXIN2|ADAMTSL2|TLL1|LAMC1|ADAMTS10|ABL1|VPS33B|SH3PXD2B|ADAMTS8|VIT|ADAMTS3|GFOD2|NTN4|LOXL3|P3H1|COLGALT1|COL24A1|ADAMTS20|LAMB1|LOXL2|TIE1|NDNF|VWA1|NID2|LRP1|ENG|EXT1|VIPAS39|COL4A3|HPSE2|COL1A1|TMPRSS6|CRISPLD2|ADAMTS2|AEBP1|SMOC2|SOX9|NPNT|ADAMTS13|PHLDB2|COL1A2|LOXL1|POMT2|PAPLN|MMP16|ADAMTS7|TGFBI|ADAMTS9|ANTXR2|CTSK|COL8A2|LARGE1|COL18A1|ADAMTSL3|ADAMTS1|ADAM8|OLFML2B|ADAMTS19|MMP28|MPV17|COL4A6|COL5A1|FBLN5|COL4A2|DAG1|NID1|NOX1|COLEC12|FMOD|MMP17|MMP11|P4HA3|TNFRSF11B|COL12A1|KAZALD1|ATXN1L|ITGB3|SULF2|THSD4|RUNX1|SERPINH1|RLTPR|ITGA8|ITGA2|COL16A1|MYH11|PRICKLE1|GAS6|COL5A2|TGFBR3|ANTXR1|HMCN1|FSHR|COL3A1|COL6A1|DPT|PDGFRA|COL14A1|COL13A1|ADAMTS6|B4GALT1|ERO1A|ADAMTSL1|LOX|MMP10|PRDM5|CTSS|ECM2|ADAMTS15|RGCC|COL4A1|PXDN|ADAMTS5|EGFLAM|TLL2|TNFRSF1B|FURIN|COL4A5|TIMP3|ADAMTS14
GOBP_CELLULAR_RESPIRATION,7.18778098869386e-10,3.82929032172666e-07,0.801215574617779,-0.426211953876098,-2.09534416240231,239,DNAJC15|LYRM7|COX7A2L|UQCR10|SUCLA2|LDHA|GPI|PDK1|PRKAG2|ATP5J|MFSD8|RHOA|CYCS|PGK2|UQCRB|COX7C|PRKAA1|C26H6ORF125|NDUFA1|CISD1|TPK1|LIPA|PSEN1|ALDOB|TMEM135|MRPS36|PDP1|ATP5H|NDUFS3|ENO4|HCCS|APP|ETFDH|COX7A2|SDHD|SLC25A13|NDUFV3|ATP5PB|AAED1|UQCRHL|ATP5C1|IDH1|NDUFAF1|COX4I1|ATP5J2|PPP2CA|FLCN|SLC25A33|NNT|NDUFA10|NDUFS6|COX5A|NDUFB9|NDUFA5|SUCLG2|MFN2|MDH1|PDK3|PUM2|PDHX|NDUFA9|CAT|NDUFA4|IDE|PKLR|FXN|FH|FBP1|C2orf69|NDUFAB1|NDUFB10|COX7B|PPARA|COX6C|IDH3A|MTFR1L|PNPT1|NDUFS4|PIK3CA|CHCHD2|UQCRFS1|IL10RB
GOBP_MITOCHONDRION_ORGANIZATION,1.62737577077656e-09,7.70652837227745e-07,0.788186810800237,-0.39631748554503,-1.98416038361923,286,SLC25A46|OPA1|LYRM7|MTM1|COX7A2L|YY2|CLN8|VPS35|MTX3|SMIM20|RAB32|FAM49B|TMEM14A|MARCKS|MAN2A1|COA5|TSTD1|AGK|VDAC2|MFSD8|RALA|BNIP3L|PTCD2|ATP23|MINOS1|MFF|C26H6ORF125|PPARG|LIPA|MAIP1|VPS13A|SIVA1|APOOL|NIPSNAP2|LETM1|TMEM135|ATG3|FAM162A|ATF2|NDUFS3|MIGA2|APOO|SLC30A9|TOMM20|CASP6|NDUFAF4|BNIP3|PRDX3|CMC1|AKT1|VPS13C|NDUFAF1|TMEM242|CAMKMT|THG1L|CHCHD4|SLC25A33|NDUFS6|MCU|COX17|RHOT1|YME1L1|MFN2|TMEM70|PUM2|C20H20ORF24|NUBPL|DNM1L|FXN|CCDC93|TIMM21|TOMM7|TOMM70|GGCT|AFG3L2|LYRM2|LETM2|GCLM|MIGA1|MTFR1L|MFSD14A|PNPT1|NDUFS4|PISD|CHCHD3|HIGD1C|CHCHD2|SSBP1|UQCRFS1|FUNDC1|PSMD10|BLOC1S2|USP30|TRIAP1|OMA1|SLIRP|ATPAF1|SLC25A6|TIMM13|COX11|HIGD2A
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,4.62461995814281e-09,1.97101302616047e-06,0.761460801445585,-0.362728150105077,-1.85894031734366,392,PSMA2|LTN1|MTM1|NDFIP2|NHLRC3|PSMA3|KBTBD8|FBXW2|PSMD6|CUL3|ATXN3|RNF7|CUL1|PSMD12|UBE2D3|APPBP2|RNF170|KLHL42|DDRGK1|BFAR|UBE3A|GLMN|PSMD14|PHF20L1|DERL1|ERCC8|PPP2R5C|CUL2|FBXL3|CHFR|UBE2B|PSMB2|GNA12|UBE2D1|DCAF13|TNFAIP1|GID8|FBXO25|SUMO2|PSEN1|UBR2|PSMA6|FBXO8|ANAPC4|RAD23B|TRIM2|ITCH|UBE2K|UFL1|N4BP1|FAF1|FBXO30|PJA2|SKP1|UBR1|AKIRIN2|UBE2G1|PSMB1|UBE2W|PSMD7|USP14|RNF139|PEX10|UBXN2A|FBXW11|SHFM1|FEM1C|CDC26|NHLRC1|AKT1|RIOK3|PCNP|CDC16|PSMA4|MYCBP2|ZNRF2|WWTR1|SH3BGRL|ATE1|SMAD7|SUMO1|MAPK9|KCTD5|FBXO3|ASCC3|CRBN|BAG5|TBL1XR1|RAB40B|RMND5A|UCHL5|YPEL5|WAC|FBXO11|ZYG11A|ZNF598|FBXO7|KLHL2|APC|IPP|COMMD1|WWP1|PLAA|KLHL38|USP9|CUL4A|SIAH1|CUL5|USP7|RANBP9|CUL4B|SOCS4|PSMB7|PEX12|ZFAND2A|SIRT1|PSMD10|XPO1|CAMLG|UBE2N|PSMA1|SKP2|TCEB1
