comparison,gene_label,gene_name,description,log2FoldChange,padj,pvalue,abs_log2fc
NC_vs_PC,LOC112530788,,small nucleolar RNA Z39,-1.31133066043521,0.050024502761284,0.0027213605117329,1.31133066043521
NC_vs_PC,ENSGALG00010002116,,,0.609668455361955,0.050024502761284,0.0027232239661379,0.609668455361955
NC_vs_PC,ENSGALG00010026785,,,-0.564404044393093,0.050024502761284,0.002718818528253,0.564404044393093
NC_vs_PC,CPOX,CPOX,coproporphyrinogen oxidase,-0.427062290922446,0.0501357106026777,0.0027321599017784,0.427062290922446
NC_vs_PC,ENSGALG00010019138,,,1.54272104152097,0.0501458654596994,0.0027487021745772,1.54272104152097
NC_vs_PC,DYSF,DYSF,dysferlin,1.44984397563097,0.0501458654596994,0.0027415140279273,1.44984397563097
NC_vs_PC,GAB2,GAB2,GRB2 associated binding protein 2,0.939857179425801,0.0501458654596994,0.0027461325934292,0.939857179425801
NC_vs_PC,RGS3,RGS3,regulator of G-protein signaling 3,0.851620020890965,0.0501458654596994,0.002750008947376,0.851620020890965
NC_vs_PC,SPATA46,SPATA46,spermatogenesis associated 46,0.829592969441849,0.0501458654596994,0.0027383859551217,0.829592969441849
NC_vs_PC,LRCH3,LRCH3,leucine rich repeats and calponin homology domain containing 3,0.455863626112287,0.0501458654596994,0.0027398693184843,0.455863626112287
NC_vs_PC,FAM53B,FAM53B,family with sequence similarity 53 member B,0.545614954691502,0.0502460932379521,0.0027583938285953,0.545614954691502
NC_vs_PC,ZHX2,ZHX2,zinc fingers and homeoboxes 2,0.322593665940412,0.0503767605504206,0.0027684630424351,0.322593665940412
NC_vs_PC,LAMC1,LAMC1,laminin subunit gamma 1,0.319239796200556,0.0504923525727317,0.0027777179473502,0.319239796200556
NC_vs_PC,ADAMTS10,ADAMTS10,"ADAM metallopeptidase with thrombospondin type 1 motif, 10",0.56654786472758,0.0511202269562331,0.0028220001837069,0.56654786472758
NC_vs_PC,IFT22,IFT22,intraflagellar transport 22,-0.543035362429074,0.0511202269562331,0.002817918619812,0.543035362429074
NC_vs_PC,TCEA1,TCEA1,transcription elongation factor A1,-0.336297553797984,0.0511202269562331,0.0028240134574005,0.336297553797984
NC_vs_PC,CCPG1,CCPG1,cell cycle progression 1,-0.316443078072031,0.0511202269562331,0.0028237757063562,0.316443078072031
NC_vs_PC,OSTM1,OSTM1,osteopetrosis associated transmembrane protein 1,-0.244659309256808,0.0513651941173581,0.0028404987779316,0.244659309256808
NC_vs_PC,THOC7,THOC7,THO complex 7,-0.490971825390588,0.0515868245711529,0.0028557203990584,0.490971825390588
NC_vs_PC,RP11-400G3.5,RP11-400G3.5,cytochrome P450 2C18 like,0.8427922227895,0.0517172082871577,0.0028666845828155,0.8427922227895
NC_vs_PC,MFSD9,MFSD9,major facilitator superfamily domain containing 9,-0.527969051223993,0.0517172082871577,0.0028688839961547,0.527969051223993
NC_vs_PC,INTS1,INTS1,integrator complex subunit 1,0.25307545966313,0.0517718277195559,0.0028748899503961,0.25307545966313
NC_vs_PC,ENSGALG00010019702,,,3.99291951508388,0.0519707707406735,0.0028894976980245,3.99291951508388
NC_vs_PC,ENSGALG00010014319,,,-0.394904958704454,0.0519707707406735,0.0028945337145154,0.394904958704454
NC_vs_PC,REXO2,REXO2,RNA exonuclease 2,-0.326361971689969,0.0519707707406735,0.0028991138021095,0.326361971689969
NC_vs_G25,ENSGALG00010005846,,,-1.90347300671981,0.0570455326213939,3.27923273289227e-05,1.90347300671981
NC_vs_G25,RSPH14,RSPH14,radial spoke head 14 homolog,-1.31306214151447,0.0616616785079778,4.25350737006055e-05,1.31306214151447
NC_vs_G25,NIPAL3,NIPAL3,NIPA like domain containing 3,-0.274648178801163,0.0616616785079778,4.17163355371472e-05,0.274648178801163
NC_vs_G25,ENSGALG00010011709,,,-3.76060163371146,0.0661050309369857,9.68877486423638e-05,3.76060163371146
NC_vs_G25,ENSGALG00010016033,,,-2.75751050198239,0.0661050309369857,0.0001094705978938,2.75751050198239
NC_vs_G25,STEAP1,STEAP1,STEAP family member 1,-1.24963835258105,0.0661050309369857,5.10383882176096e-05,1.24963835258105
NC_vs_G25,MPC1L,MPC1L,mitochondrial pyruvate carrier 1-like,-0.85626426327916,0.0661050309369857,8.33067795449165e-05,0.85626426327916
NC_vs_G25,LRRC19,LRRC19,leucine rich repeat containing 19,-0.792589467279082,0.0661050309369857,0.0001254004380846,0.792589467279082
NC_vs_G25,MPHOSPH6,MPHOSPH6,M-phase phosphoprotein 6,-0.713508902381172,0.0661050309369857,7.71103809223112e-05,0.713508902381172
NC_vs_G25,DNAJB9,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9,-0.644462794184738,0.0661050309369857,0.0001239734810846,0.644462794184738
NC_vs_G25,PIGP,PIGP,phosphatidylinositol glycan anchor biosynthesis class P,-0.636818672833463,0.0661050309369857,0.0001171906727941,0.636818672833463
NC_vs_G25,LACTB2,LACTB2,lactamase beta 2,-0.57746265776849,0.0661050309369857,9.27954536741327e-05,0.57746265776849
NC_vs_G25,AAMDC,AAMDC,"adipogenesis associated, Mth938 domain containing",0.560493566677569,0.0661050309369857,9.94726789138687e-05,0.560493566677569
NC_vs_G25,ZBTB14,ZBTB14,zinc finger and BTB domain containing 14,-0.558413092933205,0.0661050309369857,8.14313745744861e-05,0.558413092933205
NC_vs_G25,LIN7C,LIN7C,"lin-7 homolog C, crumbs cell polarity complex component",-0.52857178543585,0.0661050309369857,9.0969687237189e-05,0.52857178543585
NC_vs_G25,SYAP1,SYAP1,synapse associated protein 1,-0.528425411481929,0.0661050309369857,7.14465387791616e-05,0.528425411481929
